BugID,Plausible,Correct,Time (min.),Crank,#Tested Patch
Chart_13_e0,TRUE,FALSE,2.46,9,34
Chart_1_e0,TRUE,FALSE,1.17,1,20
Chart_24_e0,TRUE,TRUE,2.39,13,68
Chart_8_e0,TRUE,TRUE,1.34,6,5
Closure_126_e0,TRUE,FALSE,2.03,1,4
Closure_13_e0,TRUE,TRUE,12.43,43,43
Closure_14_e0,TRUE,TRUE,3.21,7,14
Closure_57_e0,TRUE,FALSE,9.5,77,395
Closure_62_e0,TRUE,FALSE,3.98,66,101
Closure_63_e0,TRUE,FALSE,3.57,66,101
Closure_70_e0,TRUE,TRUE,2.61,1,4
Closure_73_e0,TRUE,TRUE,1.93,8,10
Closure_7_e0,TRUE,FALSE,2.86,27,22
Closure_86_e0,TRUE,TRUE,1.63,2,15
Closure_92_e0,TRUE,FALSE,6.52,91,159
Closure_93_e0,TRUE,FALSE,6.34,91,159
Lang_16_e0,TRUE,TRUE,1.76,3,14
Lang_21_e0,TRUE,TRUE,1.6,2,4
Lang_24_e0,TRUE,TRUE,1.15,2,2
Lang_26_e0,TRUE,TRUE,3.07,26,58
Lang_33_e0,TRUE,TRUE,1.26,1,2
Lang_38_e0,TRUE,FALSE,1.02,2,4
Lang_39_e0,TRUE,TRUE,1.94,2,101
Lang_43_e0,TRUE,TRUE,1.22,1,1
Lang_44_e0,TRUE,TRUE,1.64,3,17
Lang_45_e0,TRUE,TRUE,0.97,1,4
Lang_49_e0,TRUE,TRUE,1.02,2,2
Lang_54_e0,TRUE,TRUE,0.94,1,4
Lang_58_e0,TRUE,FALSE,2.8,14,113
Lang_6_e0,TRUE,TRUE,3.31,14,22
Math_2_e0,TRUE,FALSE,2.97,12,18
Math_33_e0,TRUE,TRUE,3.69,21,72
Math_39_e1,TRUE,FALSE,2.02,9,24
Math_41_e0,TRUE,TRUE,1.7,5,45
Math_50_e0,TRUE,FALSE,1.24,1,4
Math_53_e1,TRUE,TRUE,1.19,1,7
Math_57_e0,TRUE,TRUE,15.54,112,420
Math_58_e0,TRUE,TRUE,1,1,1
Math_59_e0,TRUE,TRUE,1.48,3,7
Math_70_e0,TRUE,TRUE,0.83,4,1
Math_80_e0,TRUE,FALSE,4.26,145,153
Math_85_e0,TRUE,FALSE,1.12,9,4
